10001,5,3
10002,3,5
10003,8,7
10004,1004,
10005,1005,
10006,6,10
10007,1007,
10008,20,10
10009,15,10
10010,1010,
10011,7,8
10012,68,10
10013,14,13
10014,22,15
10015,37,12
10016,23,8
10017,24,12
10018,1018,
30001,76,8
30002,44,13
30003,51,12
30004,279,10
30005,34,12
30006,59,13
30007,295,10
30008,78,13
30009,253,9
30010,254,8
30011,255,7
30012,280,10
30013,75,15
30014,291,10
30015,314,11
30016,213,11
30017,11,13
30018,12,9
30019,13,14
30020,53,14
30021,55,10
30022,16,10
30023,17,9
30024,18,11
30025,19,12
30026,56,11
30027,57,7
30028,67,10
30029,69,10
30030,25,9
30031,26,16
30032,72,11
30033,28,12
30034,29,13
30035,30,9
30036,31,10
30037,32,14
30038,33,9
30039,35,11
30040,73,10
30041,74,9
30042,42,7
30043,81,7
30044,47,12
30045,82,9
30046,85,10
30047,96,10
40001,1024,
40002,193,14
40003,192,14
40004,134,15
40005,68,17
40006,313,11
40007,131,14
40008,66,15
40009,107,14
40010,409,11
40011,125,12
40012,144,15
40013,168,15
40014,37,16
40015,175,10
40016,171,14
40017,231,13
40018,178,12
40019,537,15
40020,265,13
40021,475,14
40022,177,12
40023,205,13
40024,189,11
40025,237,11
40026,196,10
40027,289,13
40028,523,10
40029,515,13
40030,300,13
40031,367,11
40032,368,12
40033,383,14
40034,10,20
40035,48,20
40036,65,15
40037,120,15
40038,121,11
40039,126,15
40040,127,18
40041,130,14
40042,118,17
40043,392,14
40044,393,9
40045,394,14
40046,396,10
40047,399,13
40048,404,10
40049,476,14
50001,476,14
50002,404,10
50003,399,13
50004,396,10
50005,394,14
50006,393,9
50007,392,14
50008,118,17
50009,130,14
50010,127,18
50011,126,15
50012,121,11
50013,120,15
50014,65,15
50015,48,20
50016,10,20
50017,383,14
50018,368,12
50019,367,11
50020,300,13
50021,515,13
50022,523,10
50023,289,13
50024,196,10
50025,237,11
50026,189,11
50027,205,13
50028,177,12
50029,475,14
50030,265,13
50031,537,15
50032,178,12
50033,231,13
50034,171,14
50035,175,10
50036,37,15
50037,168,15
50038,144,15
50039,125,12
50040,409,11
50041,107,14
50042,66,16
50043,131,14
50044,313,11
50045,68,17
50046,134,15
50047,192,14
50048,193,14
50049,80,15
60001,96,10
60002,85,10
60003,82,9
60004,47,12
60005,81,7
60006,42,7
60007,74,9
60008,73,10
60009,35,11
60010,33,9
60011,32,14
60012,31,10
60013,30,9
60014,29,13
60015,28,12
60016,72,11
60017,26,16
60018,25,9
60019,69,10
60020,67,10
60021,57,7
60022,56,11
60023,19,12
60024,18,11
60025,17,9
60026,16,10
60027,55,10
60028,53,14
60029,13,14
60030,12,9
60031,11,13
